iter	Passed	Remaining
171	712	3429
172	716	3425
173	720	3419
174	724	3416
175	728	3409
176	731	3402
177	735	3397
178	739	3389
179	742	3384
180	746	3376
181	749	3370
182	753	3362
183	756	3357
184	760	3350
185	764	3345
186	767	3338
187	771	3331
188	774	3323
189	778	3317
190	781	3311
191	785	3305
192	789	3301
193	793	3295
194	796	3288
195	800	3281
196	803	3275
197	807	3269
198	810	3263
199	814	3257
200	817	3250
201	821	3244
202	825	3239
203	830	3240
204	835	3239
205	842	3249
206	848	3251
207	854	3253
208	859	3253
209	865	3255
210	870	3254
211	874	3249
212	878	3246
213	882	3242
214	886	3237
215	890	3233
216	895	3230
217	899	3226
218	903	3221
219	907	3216
220	910	3210
221	916	3210
222	919	3204
223	924	3202
224	929	3202
225	934	3199
226	938	3194
227	943	3194
228	949	3196
229	955	3197
230	960	3196
231	964	3192
232	971	3196
233	978	3203
234	984	3204
235	988	3200
236	992	3195
237	996	3191
238	1001	3187
239	1005	3184
240	1010	3181
241	1014	3179
242	1019	3176
243	1024	3173
244	1028	3169
245	1032	3164
246	1037	3162
247	1042	3159
248	1045	3153
249	1050	3151
250	1056	3151
251	1060	3146
252	1064	3142
253	1068	3139
254	1072	3134
255	1076	3129
256	1081	3126
257	1085	3120
258	1089	3117
259	1093	3113
260	1097	3108
261	1102	3104
262	1105	3098
263	1111	3098
264	1114	3092
265	1118	3086
266	1122	3081
267	1126	3076
268	1130	3071
269	1134	3067
270	1138	3061
271	1141	3056
272	1145	3049
273	1148	3043
274	1151	3037
275	1156	3032
276	1159	3027
277	1163	3022
278	1167	3018
279	1171	3013
280	1175	3007
281	1178	3001
282	1182	2996
283	1185	2989
284	1189	2983
285	1192	2977
286	1196	2972
287	1200	2967
288	1204	2962
289	1207	2956
290	1211	2950
291	1215	2946
292	1219	2941
293	1223	2937
294	1226	2930
295	1230	2925
296	1233	2920
297	1237	2915
298	1241	2909
299	1244	2903
300	1248	2898
301	1251	2893
302	1255	2888
303	1259	2882
304	1262	2877
305	1266	2872
306	1270	2867
307	1274	2862
308	1277	2857
309	1281	2852
310	1285	2847
311	1289	2842
312	1292	2837
313	1296	2833
314	1300	2827
315	1304	2822
316	1307	2816
317	1310	2810
318	1314	2805
319	1317	2800
320	1321	2795
321	1324	2789
322	1328	2784
323	1331	2778
324	1336	2775
325	1339	2769
326	1342	2763
327	1346	2758
328	1350	2754
329	1353	2748
330	1357	2744
331	1361	2739
332	1365	2735
333	1369	2731
334	1373	2725
335	1376	2721
336	1380	2715
337	1383	2710
338	1387	2704
339	1390	2699
340	1394	2694
341	1398	2690
342	1402	2686
343	1406	2681
344	1410	2677
345	1413	2672
346	1417	2667
347	1421	2662
348	1425	2658
349	1428	2653
350	1432	2649
351	1436	2644
352	1440	2639
353	1444	2636
354	1448	2632
355	1453	2628
356	1458	2626
357	1462	2622
358	1465	2617
359	1470	2614
360	1474	2609
361	1478	2605
362	1482	2600
363	1485	2595
364	1489	2591
365	1493	2587
366	1497	2582
367	1501	2578
368	1504	2572
369	1508	2567
370	1511	2562
371	1515	2558
372	1519	2553
373	1522	2549
374	1526	2544
375	1530	2539
376	1534	2535
377	1538	2530
378	1541	2526
379	1545	2521
380	1548	2516
381	1552	2510
382	1555	2506
383	1559	2501
384	1563	2497
385	1567	2493
386	1570	2488
387	1574	2483
388	1578	2478
389	1581	2474
390	1585	2468
391	1588	2464
392	1592	2459
393	1596	2454
394	1599	2450
395	1603	2445
396	1607	2441
397	1610	2436
398	1614	2431
399	1617	2426
400	1621	2422
401	1625	2417
402	1629	2413
403	1632	2408
404	1635	2403
405	1640	2399
406	1643	2394
407	1647	2390
408	1650	2384
409	1654	2380
410	1657	2375
411	1661	2370
412	1664	2365
413	1668	2361
414	1671	2356
415	1674	2351
416	1678	2346
417	1681	2341
418	1685	2336
419	1688	2331
420	1692	2327
421	1695	2322
422	1698	2317
423	1702	2312
424	1705	2307
425	1708	2302
426	1712	2297
427	1715	2292
428	1718	2287
429	1722	2283
430	1727	2280
431	1730	2275
432	1734	2271
433	1737	2266
434	1741	2262
435	1745	2257
436	1748	2252
437	1751	2247
438	1755	2242
439	1758	2238
440	1762	2233
441	1765	2229
442	1769	2224
443	1772	2219
444	1776	2215
445	1779	2210
446	1782	2205
447	1786	2201
448	1789	2196
449	1793	2191
450	1796	2187
451	1800	2182
452	1804	2178
453	1807	2174
454	1811	2169
455	1814	2164
456	1818	2160
457	1821	2155
458	1824	2150
459	1828	2146
460	1831	2141
461	1835	2136
462	1838	2132
463	1841	2127
464	1845	2123
465	1849	2119
466	1853	2114
467	1856	2110
468	1860	2106
469	1863	2101
470	1867	2097
471	1870	2092
472	1874	2088
473	1878	2084
474	1881	2079
475	1884	2074
476	1888	2070
477	1892	2066
478	1895	2061
479	1899	2057
480	1902	2052
481	1906	2048
482	1910	2044
483	1914	2040
484	1918	2037
485	1924	2034
486	1928	2031
487	1932	2027
488	1936	2023
489	1940	2020
490	1944	2015
491	1948	2011
492	1951	2007
493	1957	2004
494	1962	2001
495	1966	1998
496	1972	1996
497	1976	1992
498	1981	1989
499	1985	1985
500	1989	1981
501	1993	1977
502	1998	1974
503	2002	1970
504	2007	1967
505	2012	1964
506	2016	1960
507	2020	1957
508	2024	1953
509	2029	1949
510	2034	1946
511	2038	1943
512	2042	1939
513	2047	1935
514	2052	1933
515	2057	1929
516	2062	1926
517	2066	1922
518	2069	1918
519	2073	1914
520	2077	1909
521	2081	1905
522	2084	1901
523	2089	1898
524	2093	1894
525	2097	1890
526	2101	1886
527	2105	1881
528	2108	1877
529	2112	1873
530	2116	1869
531	2120	1865
532	2124	1860
533	2127	1856
534	2132	1853
535	2135	1848
536	2139	1844
537	2143	1840
538	2146	1836
539	2150	1831
540	2153	1827
541	2157	1823
542	2161	1819
543	2166	1816
544	2170	1812
545	2174	1808
546	2178	1804
547	2182	1800
548	2185	1795
549	2189	1791
550	2193	1787
551	2196	1782
552	2200	1778
553	2204	1774
554	2207	1770
555	2211	1765
556	2215	1762
557	2219	1757
558	2222	1753
559	2225	1748
560	2229	1744
561	2232	1739
562	2235	1735
563	2239	1731
564	2242	1726
565	2246	1722
566	2249	1717
567	2253	1713
568	2256	1709
569	2260	1705
570	2263	1700
571	2267	1696
572	2270	1692
573	2274	1687
574	2277	1683
575	2281	1679
576	2285	1675
577	2288	1671
578	2292	1666
579	2295	1662
580	2299	1658
581	2302	1653
582	2305	1649
583	2309	1644
584	2312	1640
585	2316	1636
586	2319	1632
587	2323	1627
588	2326	1623
589	2330	1619
590	2333	1615
591	2337	1610
592	2340	1606
593	2344	1602
594	2347	1597
595	2350	1593
596	2354	1589
597	2357	1585
598	2361	1580
599	2365	1576
600	2369	1572
601	2372	1568
602	2376	1564
603	2379	1560
604	2383	1555
605	2387	1551
606	2390	1547
607	2393	1543
608	2397	1539
609	2400	1534
610	2404	1530
611	2408	1526
612	2411	1522
613	2414	1518
614	2418	1514
615	2422	1509
616	2425	1505
617	2428	1501
618	2432	1496
619	2435	1492
620	2439	1488
621	2442	1484
622	2445	1480
623	2449	1475
624	2453	1471
625	2456	1467
626	2460	1463
627	2463	1459
628	2467	1455
629	2470	1450
630	2473	1446
631	2476	1442
632	2480	1438
633	2483	1433
634	2486	1429
635	2490	1425
636	2493	1421
637	2497	1416
638	2500	1412
639	2503	1408
640	2507	1404
641	2510	1400
642	2514	1396
643	2518	1392
644	2521	1388
645	2525	1383
646	2528	1379
647	2532	1375
648	2535	1371
649	2539	1367
650	2543	1363
651	2547	1359
652	2550	1355
653	2554	1351
654	2557	1347
655	2561	1343
656	2565	1339
657	2568	1335
658	2572	1331
659	2576	1327
660	2580	1323
661	2583	1319
662	2587	1315
663	2590	1310
664	2594	1306
665	2597	1302
666	2601	1298
667	2604	1294
668	2608	1290
669	2611	1286
670	2615	1282
671	2618	1278
672	2622	1274
673	2625	1269
674	2628	1265
675	2632	1261
676	2635	1257
677	2638	1253
678	2642	1249
679	2645	1244
680	2649	1240
681	2652	1236
682	2655	1232
683	2659	1228
684	2662	1224
685	2666	1220
686	2669	1216
687	2672	1212
688	2676	1208
689	2680	1204
690	2684	1200
691	2688	1196
692	2691	1192
693	2694	1188
694	2697	1183
695	2701	1179
696	2704	1175
697	2707	1171
698	2711	1167
699	2714	1163
700	2718	1159
701	2721	1155
702	2725	1151
703	2728	1147
704	2732	1143
705	2735	1139
706	2739	1135
707	2742	1131
708	2746	1127
709	2749	1123
710	2752	1118
711	2756	1114
712	2759	1110
713	2763	1106
714	2767	1102
715	2770	1098
716	2773	1094
717	2776	1090
718	2780	1086
719	2783	1082
720	2786	1078
721	2790	1074
722	2793	1070
723	2797	1066
724	2800	1062
725	2804	1058
726	2807	1054
727	2811	1050
728	2814	1046
729	2818	1042
730	2821	1038
731	2825	1034
732	2828	1030
733	2832	1026
734	2835	1022
735	2838	1018
736	2842	1014
737	2848	1011
738	2852	1007
739	2856	1003
740	2860	999
741	2863	995
742	2867	991
743	2870	987
744	2874	983
745	2877	979
746	2881	975
747	2884	971
748	2887	967
749	2891	963
750	2894	959
751	2898	955
752	2901	951
753	2905	947
754	2908	943
755	2912	939
756	2915	935
757	2918	931
758	2922	927
759	2925	923
760	2929	919
761	2932	916
762	2935	911
763	2939	908
764	2942	904
765	2946	900
766	2950	896
767	2954	892
768	2957	888
769	2961	884
770	2964	880
771	2968	876
772	2972	872
773	2975	868
774	2978	864
775	2982	860
776	2985	856
777	2989	852
778	2992	849
779	2996	845
780	2999	841
781	3002	837
782	3006	833
783	3009	829
784	3013	825
785	3016	821
786	3020	817
787	3023	813
788	3027	809
789	3030	805
790	3034	801
791	3037	797
792	3041	793
793	3045	790
794	3048	786
795	3052	782
796	3055	778
797	3059	774
798	3062	770
799	3066	766
800	3069	762
801	3073	758
802	3076	754
803	3079	750
804	3083	746
805	3087	743
806	3091	739
807	3094	735
808	3098	731
809	3101	727
810	3104	723
811	3108	719
812	3111	715
813	3115	711
814	3119	708
815	3123	704
816	3126	700
817	3130	696
818	3134	692
819	3137	688
820	3141	684
821	3144	680
822	3147	676
823	3150	673
824	3154	669
825	3157	665
826	3161	661
827	3164	657
828	3167	653
829	3171	649
830	3174	645
831	3178	641
832	3181	637
833	3185	633
834	3188	630
835	3191	626
836	3195	622
837	3199	618
838	3202	614
839	3207	610
840	3210	607
841	3213	603
842	3217	599
843	3221	595
844	3224	591
845	3227	587
846	3231	583
847	3234	579
848	3238	575
849	3241	572
850	3245	568
851	3249	564
852	3252	560
853	3256	556
854	3260	552
855	3263	548
856	3267	545
857	3270	541
858	3273	537
859	3277	533
860	3281	529
861	3284	525
862	3288	522
863	3292	518
864	3295	514
865	3299	510
866	3302	506
867	3305	502
868	3309	498
869	3312	495
870	3316	491
871	3319	487
872	3323	483
873	3326	479
874	3330	475
875	3333	471
876	3337	468
877	3340	464
878	3343	460
879	3347	456
880	3351	452
881	3354	448
882	3358	445
883	3362	441
884	3365	437
885	3369	433
886	3372	429
887	3376	425
888	3380	422
889	3383	418
890	3387	414
891	3390	410
892	3393	406
893	3396	402
894	3400	398
895	3404	395
896	3408	391
897	3412	387
898	3415	383
899	3419	379
900	3422	376
901	3426	372
902	3429	368
903	3433	364
904	3436	360
905	3440	356
906	3444	353
907	3447	349
908	3451	345
909	3454	341
910	3457	337
911	3460	333
912	3464	330
913	3467	326
914	3471	322
915	3474	318
916	3478	314
917	3481	311
918	3485	307
919	3488	303
920	3492	299
921	3496	295
922	3499	291
923	3503	288
924	3506	284
925	3509	280
926	3513	276
927	3516	272
928	3520	269
929	3523	265
930	3526	261
931	3530	257
932	3534	253
933	3538	250
934	3541	246
935	3544	242
936	3547	238
937	3551	234
938	3554	230
939	3558	227
940	3561	223
941	3565	219
942	3568	215
943	3572	211
944	3575	208
945	3579	204
946	3582	200
947	3586	196
948	3589	192
949	3592	189
950	3596	185
951	3599	181
952	3603	177
953	3613	174
954	3617	170
955	3620	166
956	3623	162
957	3627	159
958	3630	155
959	3634	151
960	3637	147
961	3641	143
962	3645	140
963	3648	136
964	3652	132
965	3655	128
966	3659	124
967	3662	121
968	3665	117
969	3669	113
970	3673	109
971	3676	105
972	3680	102
973	3683	98
974	3687	94
975	3691	90
976	3694	86
977	3698	83
978	3701	79
979	3705	75
980	3708	71
981	3711	68
982	3714	64
983	3718	60
984	3721	56
985	3725	52
986	3728	49
987	3732	45
988	3735	41
989	3739	37
990	3742	33
991	3746	30
992	3749	26
993	3753	22
994	3756	18
995	3760	15
996	3764	11
997	3767	7
998	3771	3
999	3774	0
