iter	RMSE
560	285.3194955
561	285.2539597
562	285.194292
563	284.9535231
564	284.8320705
565	284.7171975
566	284.6265492
567	284.5253755
568	284.4467653
569	284.3809851
570	284.3049784
571	284.1786539
572	284.1254334
573	284.0716463
574	283.9189719
575	283.8495486
576	283.7842361
577	283.710714
578	283.6104449
579	283.337037
580	283.2697397
581	283.1222296
582	283.0128631
583	282.868442
584	282.7091867
585	282.6233975
586	282.5520551
587	282.4966813
588	282.4276789
589	282.2869471
590	282.2200833
591	282.1558771
592	282.0974173
593	282.0370061
594	281.9161534
595	281.8770104
596	281.7961854
597	281.7205303
598	281.6283947
599	281.4191016
600	281.3639413
601	281.3063196
602	281.2156347
603	281.1632799
604	281.0415141
605	280.9945694
606	280.9556009
607	280.8848961
608	280.8354717
609	280.7936873
610	280.7389978
611	280.6516156
612	280.5868498
613	280.5415949
614	280.4042521
615	280.259818
616	280.2044156
617	280.1195406
618	280.0673218
619	280.0055057
620	279.9425484
621	279.8748583
622	279.7946174
623	279.7124454
624	279.4919585
625	279.4401321
626	279.3975401
627	279.2907703
628	279.2435053
629	279.1944201
630	279.0509279
631	278.9525393
632	278.8901836
633	278.7811504
634	278.7188402
635	278.6467477
636	278.5444823
637	278.4742101
638	278.4154005
639	278.3557273
640	278.3280544
641	278.2494294
642	278.1963741
643	278.0945991
644	277.8365605
645	277.7869405
646	277.5938275
647	277.34739
648	277.2388513
649	277.1686857
650	277.0628289
651	277.0105976
652	276.9413038
653	276.8769435
654	276.8111467
655	276.7095186
656	276.5870962
657	276.4388519
658	276.159945
659	276.0286067
660	275.998912
661	275.9434205
662	275.6017373
663	275.5394416
664	275.3177108
665	275.2003405
666	275.1392033
667	275.0705774
668	275.0095042
669	274.6001561
670	274.5483628
671	274.4691792
672	274.4013134
673	274.3011003
674	274.2327919
675	273.9547318
676	273.893639
677	273.8547776
678	273.8107351
679	273.73957
680	273.6898248
681	273.4811426
682	273.4416917
683	273.3779398
684	273.3018696
685	273.2475017
686	273.143928
687	273.0714856
688	273.0342807
689	272.9744504
690	272.911685
691	272.8485577
692	272.6948838
693	272.6544821
694	272.5731193
695	272.5253645
696	272.4792747
697	272.2414028
698	272.1432629
699	272.0699257
700	271.9967761
701	271.9298414
702	271.8734353
703	271.6062901
704	271.5700649
705	271.5147342
706	271.4157143
707	271.2257919
708	271.1653299
709	271.086008
710	270.9374891
711	270.8679609
712	270.7559192
713	270.7119105
714	270.6412012
715	270.4643406
716	270.3586592
717	270.2877064
718	270.207146
719	270.1373139
720	270.0753253
721	270.0343214
722	269.9734344
723	269.9020872
724	269.8638165
725	269.7705959
726	269.6242598
727	269.5187098
728	269.4135938
729	269.2822665
730	269.1735166
731	269.103159
732	269.0614022
733	268.9712871
734	268.8464013
735	268.8016773
736	268.7292753
737	268.6975827
738	268.6350123
739	268.6022572
